taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,numberOfOccurrences,taxonRank,taxonomicStatus,kingdom,kingdomKey,phylum,phylumKey,class,classKey,order,orderKey,family,familyKey,genus,genusKey,species,speciesKey,iucnRedListCategory
9DSFW,Lathyrus polymorphus var. incanus (J.G.Sm. & Rydb.) Dorn,9DWGW,Lathyrus decaphyllus var. incanus (J.G.Sm. & Rydb.) Broich,3,VARIETY,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Fabales,383,Fabaceae,623QT,Lathyrus,9CL5V,Lathyrus decaphyllus,6P2QM,
3S9TW,Lappula occidentalis (S.Watson) Greene,3S9TW,Lappula occidentalis (S.Watson) Greene,13,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Lappula,62XBL,Lappula occidentalis,3S9TW,
6C4GJ,Cyclachaena xanthiifolia (Nutt.) Fresen.,6C4GJ,Cyclachaena xanthiifolia (Nutt.) Fresen.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Cyclachaena,3XTK,Cyclachaena xanthiifolia,6C4GJ,LC
BPC25,Lappula occidentalis var. cupulata (A.Gray) L.C.Higgins,BPC25,Lappula occidentalis var. cupulata (A.Gray) L.C.Higgins,1,VARIETY,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Lappula,62XBL,Lappula occidentalis,3S9TW,
3RTCK,Lactuca serriola L.,3RTCK,Lactuca serriola L.,7,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Lactuca,7NF36,Lactuca serriola,3RTCK,
4JF2Z,Plagiobothrys hispidulus (Greene) I.M.Johnst.,7MG6G,Plagiobothrys scouleri var. hispidulus (Greene) Dorn,1,SPECIES,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Boraginaceae,622G7,Plagiobothrys,6R86,Plagiobothrys scouleri,4JF4B,
CXC2C,Atriplex canescens var. canescens,JLB9,Atriplex canescens (Pursh) Nutt.,3,VARIETY,SYNONYM,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Amaranthaceae,68Z,Atriplex,35CY,Atriplex canescens,JLB9,
6YKG8,Setaria italica (L.) P.Beauv.,6YKG8,Setaria italica (L.) P.Beauv.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Poaceae,627FW,Setaria,8W3JT,Setaria italica,6YKG8,
VHRS,Cirsium canescens Nutt.,VHRS,Cirsium canescens Nutt.,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Cirsium,3Q7P,Cirsium canescens,VHRS,
586J2,Tribulus terrestris L.,586J2,Tribulus terrestris L.,9,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Zygophyllales,4CB,Zygophyllaceae,J39,Tribulus,7YZT,Tribulus terrestris,586J2,LC
H6PX,Asclepias speciosa Torr.,H6PX,Asclepias speciosa Torr.,25,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Apocynaceae,6L2,Asclepias,33PC,Asclepias speciosa,H6PX,
6P8RH,Lemna minor L.,6P8RH,Lemna minor L.,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Alismatales,62287,Araceae,6M4,Lemna,8VYS5,Lemna minor,6P8RH,LC
4W24H,Scutellaria brittonii Porter,4W24H,Scutellaria brittonii Porter,28,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Lamiaceae,PR82T,Scutellaria,8W3H6,Scutellaria brittonii,4W24H,
6XWDR,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,6XWDR,Schoenoplectus tabernaemontani (C.C.Gmel.) Palla,3,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Liliopsida,L2L,Poales,627VM,Cyperaceae,8W5,Schoenoplectus,8W3FK,Schoenoplectus tabernaemontani,6XWDR,LC
4GZ64,Phyla cuneifolia (Torr.) Greene,4GZ64,Phyla cuneifolia (Torr.) Greene,17,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Lamiales,3F4,Verbenaceae,TMFZP,Phyla,99CWM,Phyla cuneifolia,4GZ64,
3GKHK,Gnaphalium palustre Nutt.,3GKHK,Gnaphalium palustre Nutt.,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Gnaphalium,4PJ3,Gnaphalium palustre,3GKHK,LC
75J2G,Packera thurberi (A.Gray) B.L.Turner,75J2G,Packera thurberi (A.Gray) B.L.Turner,21,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Asterales,ST,Asteraceae,622TP,Packera,6C5T,Packera thurberi,75J2G,
4TPNP,Rumex fueginus Phil.,4TPNP,Rumex fueginus Phil.,4,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Polygonaceae,627KD,Rumex,7B4R,Rumex fueginus,4TPNP,
H6RL,Asclepias uncialis Greene,H6RL,Asclepias uncialis Greene,2,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Gentianales,39D,Apocynaceae,6L2,Asclepias,33PC,Asclepias uncialis,H6RL,
79G6R,Salsola collina Pall.,79G6R,Salsola collina Pall.,5,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Caryophyllales,VW,Amaranthaceae,68Z,Salsola,7BYH,Salsola collina,79G6R,
6F4PF,Ellisia nyctelea (L.) L.,6F4PF,Ellisia nyctelea (L.) L.,11,SPECIES,ACCEPTED,Plantae,P,Tracheophyta,TP,Magnoliopsida,MG,Boraginales,TW,Hydrophyllaceae,B8V,Ellisia,634D3,Ellisia nyctelea,6F4PF,
