"genus","species","scientific_name","common_name"
"Borodinia","laevigata","Borodinia laevigata"," Smooth False Rockcress"
"Botrychium","matricariifolium","Botrychium matricariifolium"," Daisy-Leaf Moonwort"
"Botrypus","virginianus","Botrypus virginianus"," Rattlesnake Fern"
"Bouteloua","curtipendula","Bouteloua curtipendula"," Side-Oats Grama"
"Bouteloua","curtipendula","Bouteloua curtipendula"," var. curtipendula"
"Brachyelytrum","erectum","Brachyelytrum erectum"," Bearded Shorthusk"
"Brassica","juncea","Brassica juncea"," Chinese Mustard"
"Brassica","nigra","Brassica nigra"," Black Mustard"
"Brassica","rapa","Brassica rapa"," Rape"
"Brassica","rapa","Brassica rapa"," var. rapa"
"Brickellia","eupatorioides","Brickellia eupatorioides"," False Boneset"
"Brickellia","eupatorioides","Brickellia eupatorioides"," var. eupatorioides"
"Bromus","arvensis","Bromus arvensis"," Field Brome"
"Bromus","ciliatus","Bromus ciliatus"," Fringed Brome"
"Bromus","inermis","Bromus inermis"," Smooth Brome"
"Bromus","nottowayanus","Bromus nottowayanus"," Nottoway Valley Brome"
"Bromus","pubescens","Bromus pubescens"," Hairy Woodland Brome"
"Bromus","racemosus","Bromus racemosus"," Bald Brome"
"Bromus","sterilis","Bromus sterilis"," Poverty Brome"
"Bromus","tectorum","Bromus tectorum"," Cheat Grass"
"Broussonetia","papyrifera","Broussonetia papyrifera"," Paper-Mulberry"
"Buglossoides","arvensis","Buglossoides arvensis"," Corn-Gromwell"
"Bulbostylis","capillaris","Bulbostylis capillaris"," Dense-Tuft Hair Sedge"
"Bulbostylis","capillaris","Bulbostylis capillaris"," ssp. capillaris"
"Bupleurum","rotundifolium","Bupleurum rotundifolium"," Hare's-Ear"
"Calamagrostis","canadensis","Calamagrostis canadensis"," Bluejoint"
"Calamagrostis","canadensis","Calamagrostis canadensis"," var. canadensis"
"Calamagrostis","porteri","Calamagrostis porteri"," Porter's Reed Grass"
"Calamagrostis","porteri","Calamagrostis porteri"," ssp. porteri"
"Callitriche","heterophylla","Callitriche heterophylla"," Greater Water-Starwort"
"Callitriche","heterophylla","Callitriche heterophylla"," ssp. heterophylla"
"Callitriche","palustris","Callitriche palustris"," Vernal Water-Starwort"
"Callitriche","stagnalis","Callitriche stagnalis"," Pond Water-Starwort"
"Callitriche","terrestris","Callitriche terrestris"," Terrestrial Water-Starwort"
"Caltha","palustris","Caltha palustris"," Yellow Marsh-Marigold"
"Caltha","palustris","Caltha palustris"," var. palustris"
"Calystegia","sepium","Calystegia sepium"," Hedge False Bindweed"
"Calystegia","spithamaea","Calystegia spithamaea"," Low False Bindweed"
"Calystegia","spithamaea","Calystegia spithamaea"," ssp. spithamaea"
"Camelina","microcarpa","Camelina microcarpa"," Little-Pod False Flax"
"Campanula","aparinoides","Campanula aparinoides"," Marsh Bellflower"
"Campanula","divaricata","Campanula divaricata"," Small Bonny Bellflower"
"Campanulastrum","americanum","Campanulastrum americanum"," American-Bellflower"
"Campsis","radicans","Campsis radicans"," Trumpet-Creeper"
"Cannabis","sativa","Cannabis sativa"," Hemp"
"Cannabis","sativa","Cannabis sativa"," ssp. sativa"
"Cannabis","sativa","Cannabis sativa"," ssp. sativa var. sativa"
"Capnoides","sempervirens","Capnoides sempervirens"," Rock-Harlequin"
