"siteID","taxonID","scientificName","taxonRank","family","nativeStatusCode","morphospeciesID","identificationReferences","identificationHistoryID"
"SCBI","COAJ","Consolida ajacis (L.) Schur","species","Ranunculaceae","I",NA,NA,NA
"SCBI","COAR4","Convolvulus arvensis L.","species","Convolvulaceae","I",NA,NA,NA
"SCBI","CONVO","Convolvulus sp.","genus","Convolvulaceae","I",NA,NA,NA
"SCBI","COCA5","Conyza canadensis (L.) Cronquist","species","Asteraceae","N",NA,NA,NA
"SCBI","COCAC3","Conyza canadensis (L.) Cronquist var. canadensis","variety","Asteraceae","N",NA,NA,NA
"SCBI","COFL","Conyza floribunda Kunth","species","Asteraceae","I",NA,NA,NA
"SCBI","COLA5","Coreopsis lanceolata L.","species","Asteraceae","N",NA,NA,NA
"SCBI","CORNAC","Cornaceae sp.","family","Cornaceae","UNK",NA,NA,NA
"SCBI","COAL2","Cornus alternifolia L. f.","species","Cornaceae","N",NA,NA,NA
"SCBI","COFL2","Cornus florida L.","species","Cornaceae","N",NA,NA,NA
"SCBI","COFL3","Corydalis flavula (Raf.) DC.","species","Fumariaceae","N",NA,NA,NA
"SCBI","CRATA","Crataegus sp.","genus","Rosaceae","UNK",NA,NA,NA
"SCBI","CRPE10","Cruciata pedemontana (Bellardi) Ehrend.","species","Rubiaceae","I",NA,NA,NA
"SCBI","CRCA9","Cryptotaenia canadensis (L.) DC.","species","Apiaceae","N",NA,NA,NA
"SCBI","CYLA","Cynanchum laeve (Michx.) Pers.","species","Asclepiadaceae","N",NA,NA,NA
"SCBI","CYOF","Cynoglossum officinale L.","species","Boraginaceae","I",NA,NA,NA
"SCBI","CYVI","Cynoglossum virginianum L.","species","Boraginaceae","N",NA,NA,NA
"SCBI","CYVIV","Cynoglossum virginianum L. var. virginianum","variety","Boraginaceae","N",NA,NA,NA
"SCBI","CYPERA","Cyperaceae sp.","family","Cyperaceae","UNK","thin leaf carex",NA,NA
"SCBI","CYES","Cyperus esculentus L.","species","Cyperaceae","NI",NA,NA,NA
"SCBI","CYLA3","Cyperus lancastriensis Porter ex A. Gray","species","Cyperaceae","N",NA,NA,NA
"SCBI","CYLU2","Cyperus lupulinus (Spreng.) Marcks","species","Cyperaceae","N",NA,NA,NA
"SCBI","CYPI","Cyperus pilosus Vahl","species","Cyperaceae","I",NA,NA,NA
"SCBI","CYPER","Cyperus sp.","genus","Cyperaceae","UNK",NA,NA,NA
"SCBI","CYST","Cyperus strigosus L.","species","Cyperaceae","N",NA,NA,NA
"SCBI","DAGL","Dactylis glomerata L.","species","Poaceae","I",NA,NA,NA
"SCBI","DAGLG","Dactylis glomerata L. ssp. glomerata","subspecies","Poaceae","I",NA,NA,NA
"SCBI","DACO","Danthonia compressa Austin","species","Poaceae","N",NA,NA,NA
"SCBI","DASP2","Danthonia spicata (L.) P. Beauv. ex Roem. & Schult.","species","Poaceae","N",NA,NA,NA
