label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Machaeranthera tanacetifolia (Kunth) Nees,Machaeranthera tanacetifolia,Machaeranthera tanacetifolia (Kunth) Nees,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Machaeranthera Machaeranthera tanacetifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Mirabilis linearis (Pursh) Heimerl,Mirabilis linearis,Mirabilis linearis (Pursh) Heimerl,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Mirabilis Mirabilis linearis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Muhlenbergia torreyi (Kunth) Hitchc. ex Bush,Muhlenbergia torreyi,Muhlenbergia torreyi (Kunth) Hitchc. ex Bush,Plantae Tracheophyta Liliopsida Poales Poaceae Muhlenbergia Muhlenbergia torreyi,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Munroa squarrosa (Nutt.) Torr.,Munroa squarrosa,Munroa squarrosa (Nutt.) Torr.,Plantae Tracheophyta Liliopsida Poales Poaceae Munroa Munroa squarrosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Oenothera albicaulis Pursh,Oenothera albicaulis,Oenothera albicaulis Pursh,Plantae Tracheophyta Magnoliopsida Myrtales Onagraceae Oenothera Oenothera albicaulis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Oenothera suffrutescens (Ser.) W.L. Wagner & Hoch,Oenothera suffrutescens,Oenothera suffrutescens (Ser.) W.L. Wagner & Hoch,Plantae Tracheophyta Magnoliopsida Myrtales Onagraceae Oenothera Oenothera suffrutescens,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Opuntia polyacantha Haw.,Opuntia polyacantha,Opuntia polyacantha Haw.,Plantae Tracheophyta Magnoliopsida Caryophyllales Cactaceae Opuntia Opuntia polyacantha,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Orobanche fasciculata Nutt.,Aphyllon fasciculatum,Orobanche fasciculata Nutt.,Plantae Tracheophyta Magnoliopsida Lamiales Orobanchaceae Aphyllon Aphyllon fasciculatum,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Pascopyrum smithii (Rydb.) Á. Löve,Elymus smithii,Pascopyrum smithii (Rydb.) Á. Löve,Plantae Tracheophyta Liliopsida Poales Poaceae Elymus Elymus smithii,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Penstemon albidus Nutt.,Penstemon albidus,Penstemon albidus Nutt.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Penstemon Penstemon albidus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Phemeranthus parviflorus (Nutt.) Kiger,Phemeranthus parviflorus,Phemeranthus parviflorus (Nutt.) Kiger,Plantae Tracheophyta Magnoliopsida Caryophyllales Montiaceae Phemeranthus Phemeranthus parviflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton,Picradeniopsis oppositifolia,Picradeniopsis oppositifolia (Nutt.) Rydb. ex Britton,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Picradeniopsis Picradeniopsis oppositifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Plantago patagonica Jacq.,Plantago patagonica,Plantago patagonica Jacq.,Plantae Tracheophyta Magnoliopsida Lamiales Plantaginaceae Plantago Plantago patagonica,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Portulaca oleracea L.,Portulaca oleracea,Portulaca oleracea L.,Plantae Tracheophyta Magnoliopsida Caryophyllales Portulacaceae Portulaca Portulaca oleracea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Psoralidium lanceolatum (Pursh) Rydb.,Ladeania lanceolata,Psoralidium lanceolatum (Pursh) Rydb.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Ladeania Ladeania lanceolata,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Psoralidium tenuiflorum (Pursh) Rydb.,Pediomelum tenuiflorum,Psoralidium tenuiflorum (Pursh) Rydb.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Pediomelum Pediomelum tenuiflorum,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Ratibida columnifera (Nutt.) Woot. & Standl.,Ratibida columnifera,Ratibida columnifera (Nutt.) Wooton & Standl.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Ratibida Ratibida columnifera,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Salsola collina Pall.,Salsola collina,Salsola collina Pall.,Plantae Tracheophyta Magnoliopsida Caryophyllales Amaranthaceae Salsola Salsola collina,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sisymbrium altissimum L.,Sisymbrium altissimum,Sisymbrium altissimum L.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Sisymbrium Sisymbrium altissimum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Solanum triflorum Nutt.,Solanum triflorum,Solanum triflorum Nutt.,Plantae Tracheophyta Magnoliopsida Solanales Solanaceae Solanum Solanum triflorum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sophora nuttalliana B.L. Turner,Sophora nuttalliana,Sophora nuttalliana B.L. Turner,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Sophora Sophora nuttalliana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sphaeralcea coccinea (Nutt.) Rydb.,Sphaeralcea coccinea,Sphaeralcea coccinea (Nutt.) Rydb.,Plantae Tracheophyta Magnoliopsida Malvales Malvaceae Sphaeralcea Sphaeralcea coccinea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Sporobolus cryptandrus (Torr.) A. Gray,Sporobolus cryptandrus,Sporobolus cryptandrus (Torr.) A. Gray,Plantae Tracheophyta Liliopsida Poales Poaceae Sporobolus Sporobolus cryptandrus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thelesperma filifolium (Hook.) A. Gray,Thelesperma filifolium,Thelesperma filifolium (Hook.) A. Gray,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma Thelesperma filifolium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Thelesperma megapotamicum (Spreng.) Kuntze,Thelesperma megapotamicum,Thelesperma megapotamicum (Spreng.) Kuntze,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Thelesperma Thelesperma megapotamicum,EXACT_MATCH_PRIMARY_SOURCE_MULT_ACCEPTED
Tradescantia occidentalis (Britton) Smyth,Tradescantia occidentalis,Tradescantia occidentalis (Britton) Smyth,Plantae Tracheophyta Liliopsida Commelinales Commelinaceae Tradescantia Tradescantia occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Tragopogon dubius Scop.,Tragopogon dubius,Tragopogon dubius Scop.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Tragopogon Tragopogon dubius,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Verbena bracteata Cav. ex Lag. & Rodr.,Verbena bracteata,Verbena bracteata Cav. ex Lag. & Rodr.,Plantae Tracheophyta Magnoliopsida Lamiales Verbenaceae Verbena Verbena bracteata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vicia americana Muhl. ex Willd.,Vicia americana,Vicia americana Muhl. ex Willd.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Vicia Vicia americana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Vulpia octoflora (Walter) Rydb.,Festuca octoflora,Vulpia octoflora (Walter) Rydb.,Plantae Tracheophyta Liliopsida Poales Poaceae Festuca Festuca octoflora,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
