label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Geum virginianum L.,Geum virginianum,Geum virginianum L.,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Geum virginianum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Gillenia trifoliata (L.) Moench,Gillenia trifoliata,Gillenia trifoliata (L.) Moench,Plantae Tracheophyta Magnoliopsida Rosales Rosaceae Gillenia trifoliata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Glechoma hederacea L.,Glechoma hederacea,Glechoma hederacea L.,Plantae Tracheophyta Magnoliopsida Lamiales Lamiaceae Glechoma hederacea,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Gleditsia triacanthos L.,Gleditsia triacanthos,Gleditsia triacanthos L.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Gleditsia triacanthos,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Gymnocladus dioicus (L.) K. Koch,Gymnocladus dioicus,Gymnocladus dioicus (L.) K. Koch,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Gymnocladus dioicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Hackelia virginiana (L.) I.M. Johnst.,Hackelia virginiana,Hackelia virginiana (L.) I.M. Johnst.,Plantae Tracheophyta Magnoliopsida Boraginales Boraginaceae Hackelia virginiana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Hamamelis virginiana L.,Hamamelis virginiana,Hamamelis virginiana L.,Plantae Tracheophyta Magnoliopsida Saxifragales Hamamelidaceae Hamamelis virginiana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Heliopsis helianthoides (L.) Sweet,Heliopsis helianthoides,Heliopsis helianthoides (L.) Sweet,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Heliopsis helianthoides,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm.,Hepatica americana,Hepatica nobilis Schreb. var. obtusa (Pursh) Steyerm.,Plantae Tracheophyta Magnoliopsida Ranunculales Ranunculaceae Hepatica americana,MULTI_EXACT_MATCH_PRIMARY_SOURCE_SYNONYMS_INFRASPECIFIC_SCORE
Heuchera americana L.,Heuchera americana,Heuchera americana L.,Plantae Tracheophyta Magnoliopsida Saxifragales Saxifragaceae Heuchera americana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Heuchera villosa Michx.,Heuchera villosa,Heuchera villosa Michx.,Plantae Tracheophyta Magnoliopsida Saxifragales Saxifragaceae Heuchera villosa,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Hieracium caespitosum Dumort.,Hieracium caespitosum,Hieracium caespitosum Dumort.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Hieracium caespitosum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Houstonia longifolia Gaertn.,Houstonia longifolia,Houstonia longifolia Gaertn.,Plantae Tracheophyta Magnoliopsida Gentianales Rubiaceae Houstonia longifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Humulus japonicus Siebold & Zucc.,Humulus scandens,Humulus japonicus Siebold & Zucc.,Plantae Tracheophyta Magnoliopsida Rosales Cannabaceae Humulus scandens,EXACT_MATCH_PRIMARY_SOURCE_SYNONYM_SIMPLE
Humulus lupulus L.,Humulus lupulus,Humulus lupulus L.,Plantae Tracheophyta Magnoliopsida Rosales Cannabaceae Humulus lupulus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
