label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Thlaspi arvense L.,Thlaspi arvense,Thlaspi arvense L.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Thlaspi arvense,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Townsendia hookeri Beaman,Townsendia hookeri,Townsendia hookeri Beaman,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Townsendia hookeri,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Tradescantia occidentalis (Britton) Smyth,Tradescantia occidentalis,Tradescantia occidentalis (Britton) Smyth,Plantae Tracheophyta Liliopsida Commelinales Commelinaceae Tradescantia occidentalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Tragopogon dubius Scop.,Tragopogon dubius,Tragopogon dubius Scop.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Tragopogon dubius,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Tragopogon dubius/pratensis,Tragopogon ,Tragopogon dubius/pratensis,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Tragopogon,MULTI_EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_HOMONYM
Tragopogon lamottei Rouy,Tragopogon lamottei,Tragopogon lamottei Rouy,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Tragopogon lamottei,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Trifolium dasyphyllum Torr. & A. Gray,Trifolium dasyphyllum,Trifolium dasyphyllum Torr. & A. Gray,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Trifolium dasyphyllum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Tripterocalyx micranthus (Torr.) Hook.,Tripterocalyx micranthus,Tripterocalyx micranthus (Torr.) Hook.,Plantae Tracheophyta Magnoliopsida Caryophyllales Nyctaginaceae Tripterocalyx micranthus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Triticum sp.,Triticum ,Triticum sp.,Plantae Tracheophyta Liliopsida Poales Poaceae Triticum,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Vaccinium sp.,Vaccinium ,Vaccinium sp.,Plantae Tracheophyta Magnoliopsida Ericales Ericaceae Vaccinium,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
