label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Cardamine parviflora L.,Cardamine parviflora,Cardamine parviflora L.,Plantae Tracheophyta Magnoliopsida Brassicales Brassicaceae Cardamine parviflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carduus nutans L.,Carduus nutans,Carduus nutans L.,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Carduus nutans,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex L.,Carex ,Carex L.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex amphibola Steud.,Carex amphibola,Carex amphibola Steud.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex amphibola,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex cephalophora Muhl. ex Willd.,Carex cephalophora,Carex cephalophora Muhl. ex Willd.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex cephalophora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Carex gracilenta Boott ex Boeckeler,Carex gracilenta,Carex gracilenta Boott ex Boeckeler,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex gracilenta,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex laevivaginata (Kük.) Mack.,Carex laevivaginata,Carex laevivaginata (Kük.) Mack.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex laevivaginata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Carex laxiflora Lam.,Carex laxiflora,Carex laxiflora Lam.,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex laxiflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex platyphylla J.Carey,Carex platyphylla,Carex platyphylla J.Carey,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex platyphylla,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Carex radiata (Wahlenb.) Small,Carex radiata,Carex radiata (Wahlenb.) Small,Plantae Tracheophyta Liliopsida Poales Cyperaceae Carex radiata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
