label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Asclepias uncialis Greene,Asclepias uncialis,Asclepias uncialis Greene,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias uncialis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Asclepias viridiflora Raf.,Asclepias viridiflora,Asclepias viridiflora Raf.,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias viridiflora,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Asparagus officinalis L.,Asparagus officinalis,Asparagus officinalis L.,Plantae Tracheophyta Liliopsida Asparagales Asparagaceae Asparagus officinalis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus agrestis Douglas ex G.Don,Astragalus agrestis,Astragalus agrestis Douglas ex G.Don,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus agrestis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus bisulcatus (Hook.) A.Gray,Astragalus bisulcatus,Astragalus bisulcatus (Hook.) A.Gray,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus bisulcatus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus ceramicus E.Sheld.,Astragalus ceramicus,Astragalus ceramicus E.Sheld.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus ceramicus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus cicer L.,Astragalus cicer,Astragalus cicer L.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus cicer,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
Astragalus crassicarpus Nutt.,Astragalus crassicarpus,Astragalus crassicarpus Nutt.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus crassicarpus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Astragalus drummondii Douglas ex Hook.,Astragalus drummondii,Astragalus drummondii Douglas ex Hook.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus drummondii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AUTHOR_DISAMBIGUATION
Astragalus gilviflorus E.Sheld.,Astragalus gilviflorus,Astragalus gilviflorus E.Sheld.,Plantae Tracheophyta Magnoliopsida Fabales Fabaceae Astragalus gilviflorus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_SIMPLE
