label,resolved_labels,resolved_scientific_names,resolved_taxonomic_labels,taxonopy_resolution_statuses
Artemisia annua,Artemisia annua,Artemisia annua,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia annua,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Artemisia biennis,Artemisia biennis,Artemisia biennis,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia biennis,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Artemisia campestris,Artemisia campestris,Artemisia campestris,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia campestris,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Artemisia cana,Artemisia cana,Artemisia cana,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia cana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Artemisia dracunculus,Artemisia dracunculus,Artemisia dracunculus,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia dracunculus,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Artemisia filifolia,Artemisia filifolia,Artemisia filifolia,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia filifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Artemisia frigida,Artemisia frigida,Artemisia frigida,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia frigida,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Artemisia longifolia,Artemisia longifolia,Artemisia longifolia,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia longifolia,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Artemisia ludoviciana,Artemisia ludoviciana,Artemisia ludoviciana,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia ludoviciana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Artemisia mexicana,Artemisia mexicana,Artemisia mexicana,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia mexicana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Artemisia nova,Artemisia nova,Artemisia nova,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia nova,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Artemisia tridentata,Artemisia tridentata,Artemisia tridentata,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia tridentata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_MULTI_RESULT_DISAMBIGUATION
Artemisia tripartita,Artemisia tripartita,Artemisia tripartita,Plantae Tracheophyta Magnoliopsida Asterales Asteraceae Artemisia tripartita,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias arenaria,Asclepias arenaria,Asclepias arenaria,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias arenaria,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias engelmanniana,Asclepias engelmanniana,Asclepias engelmanniana,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias engelmanniana,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias hallii,Asclepias hallii,Asclepias hallii,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias hallii,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
Asclepias incarnata,Asclepias incarnata,Asclepias incarnata,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias incarnata,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED_AMONG_SYNONYMS_SIMPLE
Asclepias pumila,Asclepias pumila,Asclepias pumila,Plantae Tracheophyta Magnoliopsida Gentianales Apocynaceae Asclepias pumila,EXACT_MATCH_PRIMARY_SOURCE_ACCEPTED
